"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","Oyster.tissue.dry.mass","standardized_rate","positive"
"1",1,1,1,6072023,1200,1,"Thordyke","blue","35",NA,NA,"b",1,"note a file had too many flat batteries",-0.510638948,-0.10055112,-0.410087828,0.8359,-0.490594362962077,FALSE
"2",2,1,2,6072023,1200,2,"Thordyke","red","4",NA,NA,"b",1,"",-0.591856769,-0.10055112,-0.491305649,1.3376,-0.367303864383971,FALSE
"3",5,1,5,6072023,1200,5,"Thordyke","red","5",NA,NA,"b",1,"",-0.841357914,-0.10055112,-0.740806794,1.2198,-0.607318243974422,FALSE
"4",8,1,8,6072023,1200,8,"Thordyke","red","5",NA,NA,"b",1,"",-0.83238316,-0.10055112,-0.73183204,0.7456,-0.981534388412017,FALSE
"5",9,1,9,6072023,1200,9,"Thordyke","red","4",NA,NA,"b",1,"",-0.536260093,-0.10055112,-0.435708973,0.9572,-0.455191154408692,FALSE
"6",10,2,1,6072023,NA,1,"Thordyke","blue","35",NA,NA,"c",2,"",-0.692413405,-0.1161687055,-0.5762446995,0.9569,-0.602199497857665,FALSE
"7",11,2,2,6072023,NA,2,"Thordyke","red","6",NA,NA,"c",2,"",-0.726926144,-0.1161687055,-0.6107574385,0.9083,-0.672418186171969,FALSE
"8",12,2,4,6072023,NA,4,"Thordyke","blue","71",NA,NA,"c",2,"",-0.286936149,-0.1161687055,-0.1707674435,1.129,-0.151255485828167,FALSE
"9",13,2,5,6072023,NA,5,"Thordyke","green","82",NA,NA,"c",2,"",-0.813798034,-0.1161687055,-0.6976293285,0.5656,-1.23343233468883,FALSE
"10",16,2,9,6072023,NA,9,"Thordyke","blue","71",NA,NA,"c",2,"",-0.594615876,-0.1161687055,-0.4784471705,0.5746,-0.832661278280543,FALSE
"11",17,3,1,6082023,1000,1,"Thordyke","blank","Blank",NA,NA,"a",3,"Note that this is a repeat of last nights run",-0.131786291,-0.131786291,0,0.6799,0,FALSE
"12",19,3,4,6082023,1000,4,"Thordyke","blue","50",NA,NA,"a",3,"",0.053513931,-0.131786291,0.185300222,0.8294,0.223414784181336,TRUE
"13",20,3,5,6082023,1000,5,"Thordyke","blue","50",NA,NA,"a",3,"",0.001458979,-0.131786291,0.13324527,0.518,0.257230250965251,TRUE
"14",21,3,7,6082023,1000,7,"Thordyke","green","90",NA,NA,"a",3,"",0.000237424,-0.131786291,0.132023715,0.8868,0.148876539242219,TRUE
"15",22,3,8,6082023,1000,8,"Thordyke","green","90",NA,NA,"a",3,"",-0.040587285,-0.131786291,0.091199006,0.4821,0.189170309064509,TRUE
"16",23,3,9,6082023,1000,9,"Thordyke","green","90",NA,NA,"a",3,"",-0.128034139,-0.131786291,0.00375215200000001,0.5613,0.00668475325138074,TRUE
"17",24,4,1,6082023,1145,1,"Chelsea","blue","51",NA,NA,"b",4,"",-0.662650887,-0.248025921,-0.414624966,0.7788,-0.532389530046225,FALSE
"18",25,4,2,6082023,1145,2,"Chelsea","green","52",NA,NA,"b",4,"",-0.485251354,-0.248025921,-0.237225433,0.2997,-0.791542986319653,FALSE
"19",26,4,4,6082023,1145,4,"Chelsea","red","31",NA,NA,"b",4,"",-0.774149128,-0.248025921,-0.526123207,0.9205,-0.571562419337317,FALSE
"20",28,4,7,6082023,1145,7,"Chelsea","red","31",NA,NA,"b",4,"",-0.276725268,-0.248025921,-0.028699347,0.6159,-0.0465974135411593,FALSE
"21",29,4,8,6082023,1145,8,"Chelsea","green","52",NA,NA,"b",4,"",-0.222504813,-0.248025921,0.025521108,0.2177,0.117230629306385,TRUE
"22",30,4,9,6082023,1145,9,"Chelsea","green","62",NA,NA,"b",4,"",-0.515093051,-0.248025921,-0.26706713,0.3527,-0.757207626878367,FALSE
"23",31,5,1,6082023,1346,1,"Chelsea","blue","59",NA,NA,"d",5,"D is a repeat of c",-0.517829451,-0.130314742,-0.387514709,0.8966,-0.432204672094579,FALSE
"24",32,5,2,6082023,1346,2,"Chelsea","green","62",NA,NA,"d",5,"Battery went flat at 30 minute mark",-0.135057674,-0.130314742,-0.00474293199999998,0.3603,-0.0131638412434082,FALSE
"25",33,5,4,6082023,1346,4,"Chelsea","blue","59",NA,NA,"d",5,"",-0.541950064,-0.130314742,-0.411635322,0.5797,-0.710083356908746,FALSE
"26",34,5,5,6082023,1346,5,"Chelsea","blue","55",NA,NA,"d",5,"",-0.612339124,-0.130314742,-0.482024382,0.6559,-0.734905293489861,FALSE
"27",35,5,7,6082023,1346,7,"Chelsea","green","52",NA,NA,"d",5,"",-0.231903034,-0.130314742,-0.101588292,0.3003,-0.338289350649351,FALSE
"28",37,5,9,6082023,1346,9,"Chelsea","blue","51",NA,NA,"d",5,"",-0.375455471,-0.130314742,-0.245140729,0.6163,-0.397762013629726,FALSE
"29",38,6,1,6082023,1506,1,"Chelsea","red","43",NA,NA,"e",6,"",-0.216426944,-0.1241130695,-0.0923138745,0.4849,-0.190377138585275,FALSE
"30",39,6,2,6082023,1506,2,"Chelsea","blue","55",NA,NA,"e",6,"",-0.584849754,-0.1241130695,-0.4607366845,0.6677,-0.690035471768759,FALSE
"31",41,6,5,6082023,1506,5,"Chelsea","red","43",NA,NA,"e",6,"",-0.318546111,-0.1241130695,-0.1944330415,0.7925,-0.245341377287066,FALSE
"32",42,6,7,6082023,1506,7,"Chelsea","red","41",NA,NA,"e",6,"",-0.201936044,-0.1241130695,-0.0778229745,0.5375,-0.144786929302326,FALSE
"33",43,6,8,6082023,1506,8,"Chelsea","blue","51",NA,NA,"e",6,"",-0.236754212,-0.1241130695,-0.1126411425,0.6028,-0.186863209190445,FALSE
"34",44,6,9,6082023,1506,9,"Chelsea","red","41",NA,NA,"e",6,"",-0.636894354,-0.1241130695,-0.5127812845,0.4494,-1.14103534601691,FALSE
"35",45,7,1,6082023,1630,1,"Chelsea","green","62",NA,NA,"f ",7,"",-0.359524681,-0.117911397,-0.241613284,0.3295,-0.733272485584218,FALSE
"36",46,7,2,6082023,1630,2,"Chelsea","green","53",NA,NA,"f ",7,"",-0.359441158,-0.117911397,-0.241529761,0.2673,-0.903590576131688,FALSE
"37",47,7,4,6082023,1630,4,"Chelsea","green","35",NA,NA,"f ",7,"",-0.407195081,-0.117911397,-0.289283684,0.2384,-1.21343827181208,FALSE
"38",48,7,5,6082023,1630,5,"Chelsea","green","53",NA,NA,"f ",7,"",-0.611908644,-0.117911397,-0.493997247,0.2676,-1.84602857623318,FALSE
"39",50,7,8,6082023,1630,8,"Chelsea","red","31",NA,NA,"f ",7,"",-0.476160118,-0.117911397,-0.358248721,0.7932,-0.451649925617751,FALSE
"40",51,7,9,6082023,1630,9,"Chelsea","blue","59",NA,NA,"f ",7,"",-0.592326614,-0.117911397,-0.474415217,0.8478,-0.559583884170795,FALSE
"41",53,8,4,6132023,NA,4,"Manchester","green","95",NA,NA,"a",8,"",-0.36394929,-0.036385404,-0.327563886,0.3619,-0.905122647140094,FALSE
"42",54,8,7,6132023,NA,7,"Manchester","green","76",NA,NA,"a",8,"",-0.164903676,-0.036385404,-0.128518272,0.6285,-0.204484124105012,FALSE
"43",55,8,9,6132023,NA,9,"Manchester","red","12",NA,NA,"a",8,"",-0.056661483,-0.036385404,-0.020276079,0.8747,-0.0231806093517777,FALSE
"44",56,9,1,6132023,1430,1,"Manchester","red","14",NA,NA,"c",9,"",-0.108360872,-0.045312776,-0.063048096,1.3223,-0.0476806292066853,FALSE
"45",57,9,2,6132023,1430,2,"Manchester","blue","57",NA,NA,"c",9,"same oyster as from chamber 2 in last run",-0.038500276,-0.045312776,0.0068125,0.6808,0.0100066098707403,TRUE
"46",59,9,7,6132023,1430,7,"Manchester","green","92",NA,NA,"c",9,"same oyster as from chamber 5 in last run",-0.299145297,-0.045312776,-0.253832521,0.3496,-0.726065563501144,FALSE
"47",60,9,9,6132023,1430,9,"Manchester","blue","30",NA,NA,"c",9,"same oyster as from chamber 8 in last run",-0.047354768,-0.045312776,-0.002041992,0.5069,-0.00402839218780825,FALSE
"48",61,10,1,6132023,1745,1,"Manchester","red","13",NA,NA,"d",10,"",-0.076554018,-0.048790551,-0.027763467,0.8435,-0.0329146022525193,FALSE
"49",63,10,4,6132023,1745,4,"Manchester","red","12",NA,NA,"d",10,"",-0.068309049,-0.048790551,-0.019518498,0.695,-0.0280841697841727,FALSE
"50",64,10,7,6132023,1745,7,"Manchester","green","76",NA,NA,"d",10,"",-0.381299843,-0.048790551,-0.332509292,0.5763,-0.576972569842096,FALSE
"51",65,10,9,6132023,1745,9,"Manchester","red","13",NA,NA,"d",10,"",-0.070328593,-0.048790551,-0.021538042,0.7573,-0.0284405678066816,FALSE
"52",66,11,1,6142023,900,1,"Manchester","blue","57",NA,NA,"bb",11,"",-0.122900214,-0.052794166,-0.070106048,0.7258,-0.0965914136125654,FALSE
"53",67,11,2,6142023,900,2,"Manchester","blue","30",NA,NA,"bb",11,"",-0.472528116,-0.052794166,-0.41973395,0.653,-0.64277787136294,FALSE
"54",68,11,4,6142023,900,4,"Manchester","red","14",NA,NA,"bb",11,"",-0.148395622,-0.052794166,-0.095601456,1.3891,-0.0688225872867324,FALSE
"55",69,11,7,6142023,900,7,"Manchester","green","92",NA,NA,"bb",11,"",-0.093362937,-0.052794166,-0.040568771,0.2051,-0.197799956118966,FALSE
"56",70,11,8,6142023,900,8,"Manchester","green","95",NA,NA,"bb",11,"",-0.068199008,-0.052794166,-0.015404842,0.3675,-0.041917937414966,FALSE
"57",72,12,1,6142023,1200,1,"Manchester","blue","33",NA,NA,"c",12,"",-0.100587774,-0.030563298,-0.070024476,0.5395,-0.129795136237257,FALSE
"58",73,12,2,6142023,1200,2,"Manchester","blue","30",NA,NA,"c",12,"",-0.144130053,-0.030563298,-0.113566755,1.3367,-0.0849605408842672,FALSE
"59",74,12,4,6142023,1200,4,"Manchester","blue","33",NA,NA,"c",12,"I dont know what the second drop off on the graph is but the mag bar was spinning the whole time",-0.109627436,-0.030563298,-0.079064138,1.0984,-0.071981189002185,FALSE
"60",75,12,7,6142023,1200,7,"Manchester","green","92",NA,NA,"c",12,"",-0.078731952,-0.030563298,-0.048168654,0.4483,-0.107447365603391,FALSE
"61",77,12,9,6142023,1200,9,"Manchester","red","14",NA,NA,"c",12,"The graph on this one looks weird but it's bc I had the sensor out of the water right at the start",-0.108691176,-0.030563298,-0.078127878,0.9611,-0.0812900613879929,FALSE
"62",78,13,1,6192023,1208,1,"Hood Head","blue","84",NA,NA,"a",13,"",-0.444794214,-0.384540974,-0.06025324,0.5701,-0.105688896684792,FALSE
"63",79,13,2,6192023,1208,2,"Hood Head","red","47",NA,NA,"a",13,"",-0.839452464,-0.384540974,-0.45491149,1.3451,-0.338199011225931,FALSE
"64",80,13,4,6192023,1208,4,"Hood Head","green","78",NA,NA,"a",13,"",-0.680097328,-0.384540974,-0.295556354,0.444,-0.665667463963964,FALSE
"65",82,13,7,6192023,1208,7,"Hood Head","red","37",NA,NA,"a",13,"",-0.531155245,-0.384540974,-0.146614271,1.1276,-0.130023298155374,FALSE
"66",83,13,8,6192023,1208,8,"Hood Head","blank","",NA,NA,"a",13,"",-0.384540974,-0.384540974,0,0.5219,0,FALSE
"67",86,14,2,6192023,1330,2,"Hood Head","red","38",NA,NA,"b",14,"",-6.619317524,-0.2119848545,-6.4073326695,0.9571,-6.69452791714554,FALSE
"68",87,14,4,6192023,1330,4,"Hood Head","blue","85",NA,NA,"b",14,"",-0.631262462,-0.2119848545,-0.4192776075,0.8327,-0.503515801008767,FALSE
"69",88,14,7,6192023,1330,7,"Hood Head","red","32",NA,NA,"b",14,"",-1.083215075,-0.2119848545,-0.8712302205,1.3296,-0.655257386055957,FALSE
"70",89,14,8,6192023,1330,8,"Hood Head","green","78",NA,NA,"b",14,"",0.480714396,-0.2119848545,0.6926992505,0.2783,2.48903791052821,TRUE
"71",90,14,9,6192023,1330,9,"Hood Head","blue","84",NA,NA,"b",14,"",-13.59665506,-0.2119848545,-13.3846702055,0.9002,-14.8685516612975,FALSE
"72",91,15,1,6192023,1440,1,"Hood Head","green","87",NA,NA,"c",15,"",-1.155623013,-0.039428735,-1.116194278,0.4317,-2.58557859161455,FALSE
"73",92,15,2,6192023,1440,2,"Hood Head","red","38",NA,NA,"c",15,"",-0.843016096,-0.039428735,-0.803587361,0.9575,-0.839255729503916,FALSE
"74",93,15,4,6192023,1440,4,"Hood Head","blue","85",NA,NA,"c",15,"",-1.234402633,-0.039428735,-1.194973898,1.2062,-0.99069300116067,FALSE
"75",95,15,8,6192023,1440,8,"Hood Head","red","47",NA,NA,"c",15,"",-0.068150269,-0.039428735,-0.028721534,1.7169,-0.0167287168734347,FALSE
"76",97,16,1,6192023,1600,1,"Hood Head","green","54",NA,NA,"d",16,"",-1.053927278,-0.032540511,-1.021386767,0.3797,-2.68998358440874,FALSE
"77",97,16,1,6192023,1600,1,"Hood Head","green","54",NA,NA,"d",16,"",-1.053927278,-0.032540511,-1.021386767,0.7598,-1.34428371545143,FALSE
"78",99,16,4,6192023,1600,4,"Hood Head","blue","85",NA,NA,"d",16,"",-0.601347748,-0.032540511,-0.568807237,0.915,-0.621647253551913,FALSE
"79",100,16,7,6192023,1600,7,"Hood Head","red","47",NA,NA,"d",16,"",-0.989277296,-0.032540511,-0.956736785,0.8939,-1.07029509452959,FALSE
"80",101,16,8,6192023,1600,8,"Hood Head","red","38",NA,NA,"d",16,"",-0.084732315,-0.032540511,-0.052191804,0.7578,-0.0688727949326999,FALSE
"81",102,16,9,6192023,1600,9,"Hood Head","green","78",NA,NA,"d",16,"",-0.095273971,-0.032540511,-0.06273346,0.1962,-0.319742405708461,FALSE
"82",103,17,1,6192023,1700,1,"Hood Head","blue","86",NA,NA,"e",17,"",-2.145601385,-0.025903411,-2.119697974,1.2636,-1.67750710193099,FALSE
"83",104,17,2,6192023,1700,2,"Hood Head","green","54",NA,NA,"e",17,"",-0.287528002,-0.025903411,-0.261624591,0.2164,-1.20898609519408,FALSE
"84",108,17,9,6192023,1700,9,"Hood Head","green","87",NA,NA,"e",17,"",-1.089395008,-0.025903411,-1.063491597,0.3169,-3.3559217324077,FALSE
"85",109,18,1,6192023,6192023,1,"Hood Head","blue","87",NA,NA,"f",18,"",-0.248749718,-0.077519281,-0.171230437,1.2412,-0.137955556719304,FALSE
"86",109,18,1,6192023,6192023,1,"Hood Head","blue","87",NA,NA,"f",18,"",-0.248749718,-0.077519281,-0.171230437,0.5923,-0.289094102650684,FALSE
"87",110,18,7,6192023,6192023,7,"Hood Head","blue","87",NA,NA,"f",18,"",-1.065472459,-0.077519281,-0.987953178,0.9158,-1.07878704739026,FALSE
"88",111,18,9,6192023,6192023,9,"Hood Head","green","54",NA,NA,"f",18,"",-0.798072126,-0.077519281,-0.720552845,0.4525,-1.59238197790055,FALSE
